A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
688187,-,时代电气,时代电气,"Zhuzhou CRRC Times Electric Co., Ltd.",20210907
688188,-,柏楚电子,上海柏楚电子科技,Shanghai Friendess Electronic Technology Corporation Limited,20190808
688189,-,南新制药,南新制药,"Hunan Nucien Pharmaceutical Co., Ltd.",20200326
688190,-,云路股份,云路先进材料股份,"QINGDAO YUNLU ADVANCED MATERIALS TECHNOLOGY CO., LTD.",20211126
688191,-,智洋创新,智洋创新科技,"Zhiyang Innovation Technology Co.,Ltd.",20210408
688192,-,迪哲医药,迪哲医药,"DIZAL (JIANGSU) PHARMACEUTICAL CO., LTD.",20211210
688193,-,仁度生物,仁度生物,"SHANGHAI RENDU BIOTECHNOLOGY CO., LTD.",20220330
688195,-,腾景科技,腾景科技,"Optowide Technologies Co., Ltd.",20210326
688196,-,卓越新能,卓越新能,"Longyan Zhuoyue New Energy Co., Ltd.",20191121
688197,-,首药控股,首药控股,"SHOUYAO HOLDINGS CO.,LTD",20220323
688198,-,佰仁医疗,佰仁医疗科技,"Beijing Balance Medical Technology Co.,Ltd.",20191209
688199,-,久日新材,久日新材料,"Tianjin Jiuri New Materials Co., Ltd.",20191105
688200,-,华峰测控,华峰测控,"Beijing Huafeng Test & Control Technology Co.,Ltd.",20200218
688201,-,信安世纪,信安世纪,"BEIJING INFOSEC TECHNOLOGIES CO.,LTD",20210421
688202,-,美迪西,美迪西生物医药,Shanghai Medicilon Inc.,20191105
688203,-,海正生材,海正生物材料,ZHEJIANG HISUN BIOMATERIALS CO.LTD.,20220816
688205,-,德科立,德科立光电子,"WUXI TACLINK OPTOELECTRONICS TECHNOLOGY CO., LTD.",20220809
688206,-,概伦电子,概伦电子,"PRIMARIUS TECHNOLOGIES CO., LTD.",20211228
688207,-,格灵深瞳,格灵深瞳,"BEIJING DEEP GLINT TECHNOLOGY CO., LIMITED",20220317
688208,-,道通科技,道通科技,"Autel Intelligent Technology Corp.,Ltd.",20200213
688209,-,英集芯,英集芯科技,"SHENZHEN INJOINIC TECHNOLOGY CO., LTD.",20220419
688210,-,统联精密,泛海统联精密制造,"SHENZHEN PACIFIC UNION PRECISION MANUFACTURING CO., LTD.",20211227
688211,-,中科微至,中科微至,"WAYZIM TECHNOLOGY CO., LTD.",20211026
688212,-,澳华内镜,澳华内镜,"SHANGHAI AOHUA PHOTOELECTRICITY ENDOSCOPE CO., LTD.",20211115
688213,-,思特威,思特威电子科技,"SMARTSENS TECHNOLOGY (SHANGHAI) CO., LTD.",20220520
688215,-,瑞晟智能,瑞晟智能科技,"Zhejiang Risun Intelligent Technology Co.,Ltd.",20200828
688216,-,气派科技,气派科技,"China Chippacking Technology Co.,Ltd.",20210623
688217,-,睿昂基因,上海睿昂基因,"Shanghai Rightongene Biotechnology Co., Ltd.",20210517
688218,-,江苏北人,江苏北人,"Jiangsu Beiren Smart Manufacturing Technology Co., Ltd.",20191211
688219,-,会通股份,会通股份,"Oriniko Advanced Plastics Co., Ltd.",20201118
688220,-,翱捷科技,翱捷科技,"ASR MICROELECTRONICS CO., LTD.",20220114
688221,-,前沿生物,前沿生物,Frontier Biotechnologies Inc.,20201028
688222,-,成都先导,成都先导,HitGen Inc.,20200416
688223,-,晶科能源,晶科能源,"JINKO SOLAR CO., LTD.",20220126
688225,-,亚信安全,亚信安全,"ASIAINFO SECURITY TECHNOLOGIES CO.,LTD.",20220209
688226,-,威腾电气,威腾电气集团股份,"WETOWN ELECTRIC GROUP CO., LTD.",20210707
688227,-,品高股份,品高股份,"BINGO SOFTWARE CO., LTD.",20211230
688228,-,开普云,开普云信息科技,"Ucap Cloud Information Technology Co.,Ltd.",20200327
688229,-,博睿数据,博睿宏远数据,"Bonree Data Technology Co., Ltd.",20200817
688230,-,芯导科技,芯导科技,"SHANGHAI PRISEMI ELECTRONICS CO., LTD.",20211201
688231,-,隆达股份,隆达超合金股份,"JIANGSU LONGDA SUPERALLOY CO., LTD.",20220722
688232,-,新点软件,国泰新点软件,"GUOTAI EPOINT SOFTWARE CO.,LTD.",20211117
688233,-,神工股份,神工半导体,Thinkon Semiconductor Jinzhou Corp.,20200221
688234,-,天岳先进,天岳先进,"SICC CO., LTD.",20220112
688235,-,百济神州,百济神州,"BEIGENE, LTD.",20211215
688236,-,春立医疗,春立正达医疗,"BEIJING CHUNLIZHENGDA MEDICAL INSTRUMENTS CO.,LTD.",20211230
688237,-,超卓航科,超卓航科,"HUBEI CHAOZHUO AVIATION TECHNOLOGY CO., LTD.",20220701
688238,-,和元生物,和元生物,"OBIO TECHNOLOGY (SHANGHAI) CORP.,LTD.",20220322
688239,-,航宇科技,贵州航宇科技,"Guizhou Aviation Technical Development Co., Ltd.",20210705
688244,-,永信至诚,永信至诚,INTEGRITY TECHNOLOGY GROUP INC.,20221019
688246,-,嘉和美康,嘉和美康科技,"GOODWILL E-HEALTH INFO CO., LTD.",20211214
688247,-,宣泰医药,宣泰医药,SINOTHERAPEUTICS INC.,20220825
688248,-,南网科技,南方电网电力科技,"CHINA SOUTHERN POWER GRID TECHNOLOGY CO.,LTD.",20211222
688249,-,晶合集成,晶合集成,NEXCHIP SEMICONDUCTOR CORPORATION,20230505
688251,-,井松智能,井松智能科技,"HEFEI JINGSONG INTELLIGENT TECHNOLOGY CO.,LTD.",20220606
688252,-,天德钰,天德钰科技,JADARD,20220927
688253,-,英诺特,英诺特生物股份,"INNOVITA BIOLOGICAL TECHNOLOGY CO., LTD.",20220728
688255,-,凯尔达,凯尔达机器人,"HANGZHOU KAIERDA WELDING ROBOT CO.,LTD.",20211025
688256,-,寒武纪,寒武纪科技,Cambricon Technologies Corporation Limited,20200720
688257,-,新锐股份,新锐股份,SHAREATE TOOLS LTD.,20211027
688258,-,卓易信息,江苏卓易信息科技,"Jiangsu Eazytec Co., Ltd.",20191209
688259,-,创耀科技,创耀通信科技,TRIDUCTOR TECHNOLOGY(SUZHOU) INC.,20220112
