板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,未盈利,具有表决权差异安排,具有协议控制架构
创业板,华兰生物疫苗股份有限公司,Hualan Biological Bacterin Inc.,河南省新乡市华兰大道甲1号附1号,301207,华兰疫苗,2022-02-18,"600,015,000","141,013,988",,,,0,0,华中,河南,新乡市,C 制造业,,否,否,否
创业板,北京中亦安图科技股份有限公司,"ChinaEtek Service & Technology Co., Ltd.",北京市海淀区学院南路68号吉安大厦A座501室,301208,中亦科技,2022-07-07,"100,000,050","35,443,800",,,,0,0,华北,北京,北京市,I 信息技术,www.ce-service.com.cn,否,否,否
创业板,龙口联合化学股份有限公司,"Longkou Union Chemical Co., Ltd.",山东省烟台市龙口市诸由观镇,301209,联合化学,2022-08-25,"80,000,000","24,500,000",,,,0,0,华东,山东,烟台市,C 制造业,www.lkunion.com.cn,否,否,否
创业板,无锡市金杨新材料股份有限公司,"Wuxi JinYang New Materials Co.,Ltd.",江苏省无锡市锡山区鹅湖镇张马桥路168号,301210,金杨股份,2023-06-30,"82,456,356","16,436,172",,,,0,0,华东,江苏,无锡市,C 制造业,www.wx-jy.com,否,否,否
创业板,湖北亨迪药业股份有限公司,"Hubei Biocause Heilen Pharmaceutical Co., Ltd.",湖北省荆门市掇刀区杨湾路122号,301211,亨迪药业,2021-12-22,"288,000,000","70,946,203",,,,0,0,华中,湖北,荆门市,C 制造业,www.biocause.com,否,否,否
创业板,浙江联盛化学股份有限公司,"Zhejiang Realsun Chemical Co., Ltd.",浙江省临海市临海头门港新区东海第三大道9号,301212,联盛化学,2022-04-19,"108,000,000","27,000,000",,,,0,0,华东,浙江,台州市,C 制造业,www.realsunchem.com,否,否,否
创业板,四川观想科技股份有限公司,"Sichuan Discovery Dream Science & Technology Co.,Ltd.",中国（四川）自由贸易试验区成都高新区吉泰路666号1栋18层8号,301213,观想科技,2021-12-06,"79,999,999","28,756,399",,,,0,0,西南,四川,成都市,I 信息技术,www.gxwin.cn,否,否,否
创业板,中汽研汽车试验场股份有限公司,"CATARC Automotive Proving Ground Co.,Ltd.",江苏省盐城市大丰区大丰港经济区,301215,中汽股份,2022-03-08,"1,322,400,000","767,400,000",,,,0,0,华东,江苏,盐城市,M 科研服务,www.capg.com.cn,否,否,否
创业板,万凯新材料股份有限公司,"Wankai New Materials Co., Ltd",浙江省嘉兴市海宁市尖山新区闻澜路15号,301216,万凯新材,2022-03-29,"515,093,100","279,915,597",,,,0,0,华东,浙江,嘉兴市,C 制造业,www.wkai.cc,否,否,否
创业板,安徽铜冠铜箔集团股份有限公司,"Anhui Tongguan Copper Foil Group Co., Ltd.",安徽省池州市经济技术开发区清溪大道189号,301217,铜冠铜箔,2022-01-27,"829,015,544","229,015,544",,,,0,0,华东,安徽,池州市,C 制造业,,否,否,否
