Date,gcny10yr:gov,Stock:Close:02800,Stock:Divident:02800,Stock:pd:02800,usdcny:cur,usgg10yr:ind
200201,2.798,26.45,0.93,3.5161,6.9762,1.126
200301,2.663,23.85,0.93,3.8994,7.0927,0.699
200401,2.51,24.75,0.87,3.5152,7.0793,0.625
200501,2.707,23.2,0.87,3.75,7.133,0.644
200601,2.895,24.9,0.87,3.494,7.0681,0.653
200701,2.973,25.26,0.87,3.4442,6.9873,0.536
200801,3.053,25.84,0.87,3.3669,6.8477,0.693
200901,3.155,24.28,0.87,3.5832,6.7833,0.677
201001,3.192,24.24,0.75,3.0941,6.6943,0.859
201101,3.28,26.56,0.75,2.8238,6.5827,0.842
201201,3.203,27.4,0.75,2.7372,6.5017,0.912
210101,3.227,28.46,0.75,2.6353,6.4459,1.094
210201,3.289,29.22,0.75,2.5667,6.478,1.456
210301,3.201,28.66,0.75,2.6169,6.5627,1.746
210401,3.176,28.8,0.79,2.7431,6.4724,1.631
210501,3.077,29.4,0.79,2.6871,6.3697,1.6079
210601,3.083,29.24,0.79,2.7018,6.4676,1.444
210701,2.845,26.52,0.79,2.9789,6.4615,1.239
210801,2.857,26.42,0.79,2.9902,6.4524,1.302
210901,2.874,25.22,0.79,3.1324,6.4474,1.527
211001,2.976,25.52,0.67,2.6254,6.4021,1.5732
211101,2.867,23.62,0.67,2.8366,6.3653,1.441
211201,2.783,23.52,0.67,2.8486,6.3611,1.498
220101,2.75,23.98,0.67,2.794,6.3689,1.782
220201,2.791,22.88,0.67,2.9283,6.3112,1.839
220301,2.817,22.28,0.67,3.0072,6.3533,2.325
220401,2.841,21.22,0.62,2.9218,6.6397,2.885
220501,2.803,21.62,0.62,2.8677,6.6787,2.844
220601,2.824,22.28,0.62,2.7828,6.6928,2.974
220701,2.759,20.68,0.62,2.9981,6.7503,2.642
220801,2.649,20.5,0.62,3.0244,6.9053,3.132
220901,2.782,17.89,0.62,3.4656,7.1415,3.804
221001,2.65,14.82,0.64,4.3185,7.3356,4.077
221101,2.923,18.7,0.64,3.4225,7.0449,3.701
221201,2.884,19.92,0.64,3.2129,6.9229,3.831
230101,2.928,22,0.64,2.9091,6.7556,3.529
230201,2.913,19.99,0.64,3.2016,6.9539,3.914
230301,2.861,20.58,0.64,3.1098,6.8741,3.49
230401,2.785,20,0.66,3.3,6.9262,3.452
230501,2.714,18.48,0.66,3.5714,7.1181,3.637
230601,2.683,19.25,0.66,3.4286,7.2676,3.819
230701,2.697,20.54,0.66,3.2132,7.1447,3.957
230801,2.589,18.93,0.66,3.4865,7.2746,4.091
230901,2.715,18.44,0.66,3.5792,7.2955,4.571
231001,2.738,17.6,0.66,3.75,7.30974,4.8251
