Date,Stock:Close:00003,Stock:Close:00101,Stock:Close:00338,Stock:Close:01083,Stock:Close:02800,Stock:Divident:00003,Stock:Divident:00101,Stock:Divident:00338,Stock:Divident:01083,Stock:Divident:02800,Stock:pd:00003,Stock:pd:00101,Stock:pd:00338,Stock:pd:01083,Stock:pd:02800
151201,7.4456,12.2427,1.9346,3.5199,22.1,0.35,0.76,0,0.1,0.81,4.7008,6.2078,0,2.841,3.6652
160101,6.6716,9.8969,1.9534,2.9176,19.84,0.35,0.76,0,0.1,0.81,5.2461,7.6792,0,3.4275,4.0827
160201,6.701,9.4666,2.0661,3.0975,19.3,0.35,0.76,0,0.1,0.81,5.2231,8.0282,0,3.2284,4.1969
160301,7.1027,10.2856,2.4606,3.1288,21.05,0.35,0.76,0,0.1,0.81,4.9277,7.389,0,3.1961,3.848
160401,7.0929,10.7436,2.3917,3.1523,21.15,0.35,0.76,0,0.1,0.79,4.9345,7.074,0,3.1723,3.7352
160501,7.3084,10.7004,2.3792,3.3166,21.1,0.35,0.75,0,0.1,0.79,4.789,7.0091,0,3.0151,3.7441
160601,7.733,11.2628,2.2925,3.5288,21.35,0.35,0.75,0.1,0.1,0.79,4.5261,6.6591,4.3621,2.8338,3.7002
160701,7.8752,12.1136,2.4479,3.7689,22.45,0.35,0.75,0.1,0.1,0.79,4.4443,6.1914,4.0851,2.6533,3.5189
160801,8.0939,12.7481,2.5969,3.5768,23.65,0.35,0.75,0.1,0.1,0.79,4.3242,5.8832,3.8507,2.7958,3.3404
160901,8.0719,12.688,2.5321,3.5608,24,0.35,0.75,0.1,0.1,0.79,4.336,5.9111,3.9493,2.8084,3.2917
161001,8.3806,12.4552,2.5645,3.4968,23.1,0.35,0.75,0.1,0.1,0.78,4.1763,6.0216,3.8994,2.8598,3.3766
161101,7.9616,12.7171,2.6422,3.2168,23,0.35,0.75,0.1,0.1,0.78,4.3961,5.8976,3.7847,3.1087,3.3913
161201,7.5757,11.9605,2.7199,3.2648,22.1,0.35,0.75,0.1,0.1,0.78,4.62,6.2706,3.6766,3.063,3.5294
170101,8.0829,13.9684,3.1214,3.3928,23.55,0.35,0.75,0.1,0.1,0.78,4.3301,5.3693,3.2037,2.9474,3.3121
170201,8.2373,14.2594,3.0437,3.4088,24.05,0.35,0.75,0.1,0.1,0.78,4.249,5.2597,3.2855,2.9336,3.2432
170301,8.5681,14.696,2.7911,3.5128,24.45,0.35,0.75,0.1,0.1,0.78,4.0849,5.1034,3.5828,2.8467,3.1902
170401,8.5681,14.8415,2.817,3.7209,24.8,0.35,0.75,0.1,0.1,0.77,4.0849,5.0534,3.5499,2.6875,3.1048
170501,9.1856,15.0886,2.966,3.8729,26,0.35,0.75,0.1,0.1,0.77,3.8103,4.9706,3.3715,2.582,2.9615
170601,9.0269,14.6018,2.9,4.1845,26.25,0.35,0.75,0.25,0.12,0.77,3.8773,5.1364,8.6207,2.8677,2.9333
170701,9.0884,14.5719,3.0804,4.5209,27.9,0.35,0.75,0.25,0.12,0.77,3.8511,5.1469,8.1158,2.6543,2.7599
170801,9.1007,14.2574,3.3856,4.3486,28.75,0.35,0.75,0.25,0.12,0.77,3.8459,5.2604,7.3842,2.7595,2.6783
170901,9.0999,14.0073,3.226,4.4963,28.4,0.35,0.75,0.25,0.12,0.77,3.8462,5.3544,7.7495,2.6689,2.7113
171001,9.1619,13.5388,3.226,5.2511,28.45,0.35,0.75,0.25,0.12,0.93,3.8202,5.5396,7.7495,2.2852,3.2689
171101,9.447,13.8864,3.2122,5.1116,29.45,0.35,0.75,0.25,0.12,0.93,3.7049,5.401,7.7828,2.3476,3.1579
171201,9.4966,14.4303,3.0873,5.1527,30.05,0.35,0.75,0.25,0.12,0.93,3.6855,5.1974,8.0977,2.3289,3.0948
